Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Years until sold
100103,2010,3/11/2011,Guilford,12 GRANITE RD,127400,160000.0,0.79625,Condo,Condo,1
100104,2010,9/1/2011,Litchfield,7 TAPPING REEVE,133270,170000.0,0.783941176,Condo,Condo,1
100111,2010,8/23/2011,Thompson,RICH RD EXT,190100,250000.0,0.7604,Nan,Nan,1
100324,2010,2/17/2011,Norwalk,14 RENZULLI RD,249550,450000.0,0.554555556,Nan,Nan,1
100043,2010,11/9/2010,Newtown,15 ANTHONY RIDGE ROAD,166750,209000.0,0.79784689,Nan,Nan,0
100012,2010,11/3/2010,Putnam,353 POMFRET STREET,339300,400000.0,0.84825,Nan,Nan,0
100056,2010,3/28/2011,Thompson,HILL RD,51800,56000.0,0.925,Nan,Nan,1
100033,2010,10/20/2010,Shelton,109 WESLEY DR,130410,261250.0,0.499177033,Nan,Nan,0
10077,2010,2/1/2011,Watertown,0 MORRO ST,42900,60000.0,0.715,Nan,Nan,1
100520,2010,3/4/2011,Waterbury,50 SPRINGBROOK RD,573960,800000.0,0.71745,Nan,Nan,1
10030,2010,6/2/2011,Salem,643 WEST ROAD,65820,90000.0,0.731333333,Nan,Nan,1
10075,2010,12/15/2010,South Windsor,64 BANCROFT LN,37800,133000.0,0.284210526,Nan,Nan,0
100043,2010,10/25/2010,Stratford,50-60 SAGE ST,173320,220000.0,0.787818182,Nan,Nan,0
100183,2010,8/11/2011,Rocky Hill,27 HICKORY LANE,141540,168500.0,0.84,Condo,Condo,1
101224,2010,9/21/2011,Waterbury,232 WILLOW ST,135050,50000.0,2.701,Nan,Nan,1
100026,2010,11/18/2010,Old Saybrook,10 MERRITT LANE,118000,175000.0,0.674285714,Nan,Nan,0
10037,2010,11/19/2010,Ridgefield,CRAIGMOOR RD,13080,17000.0,0.769411765,Nan,Nan,0
100172,2010,6/29/2011,Plainville,28 EAST ST,168700,375000.0,0.449866667,Nan,Nan,1
100105,2010,5/2/2011,Windham,46 W PARK ST,146930,130000.0,1.130230769,Nan,Nan,1
10092,2010,8/2/2011,Winchester,25 RIVEREDGE DR,81690,87720.0,0.93125855,Condo,Condo,1
100319,2010,2/18/2011,Norwalk,1 MOTT AVE,582750,850000.0,0.685588235,Nan,Nan,1
100714,2010,7/22/2011,Norwalk,18 THOMAS PL 10,1564360,2073750.0,0.754362869,Condo,Condo,1
100798,2010,6/2/2011,Waterbury,260 SCOTT RD #9,80810,72200.0,1.119252078,Condo,Condo,1
100060,2010,5/2/2011,Woodstock,17 CORNFIELD PT,153800,139900.0,1.099356683,Condo,Condo,1
100245,2010,1/10/2011,Norwalk,9 TAYLOR AVE C,171080,160000.0,1.06925,Condo,Condo,1
100120,2010,1/20/2011,Torrington,247 N ELM ST,159480,190000.0,0.839368421,Nan,Nan,1
100134,2010,3/1/2011,Windsor,206 WOODCARVER,172060,190000.0,0.905578947,Condo,Condo,1
100354,2010,4/29/2011,Stratford,6 SHORELINE DR,451500,420000.0,1.075,Condo,Condo,1
100168,2010,9/27/2011,Suffield,HILL ST,85000,135000.0,0.62962963,Nan,Nan,1
10031,2010,1/5/2011,Winchester,70 S MAIN ST,260540,290000.0,0.898413793,Nan,Nan,1
100068,2010,1/24/2011,Plainville,12 NEAL CT,94360,120000.0,0.786333333,Nan,Nan,1
100377,2010,8/1/2011,Newington,5 MALLARD LANE,176680,203000.0,0.870344828,Condo,Condo,1
100007,2010,10/14/2010,Stonington,83 HEWITT RD,81900,150000.0,0.546,Nan,Nan,0
100064,2010,11/12/2010,New Britain,228 BOND ST,122360,165000.0,0.741575758,Single Family,Single Family,0
100440,2010,8/31/2011,East Hartford,43 ARAWAK DRIVE,28520,27000.0,1.056296296,Single Family,Single Family,1
100024,2010,10/22/2010,Meriden,45 FOURTH ST,111680,190000.0,0.587789474,Two Family,Two Family,0
100171,2010,1/28/2011,Meriden,253 PROSPECT AVE,141480,90600.0,1.561589404,Single Family,Single Family,1
100215,2010,4/25/2011,Enfield,133 COLUMBIA RD,121590,105500.0,1.152511848,Single Family,Single Family,1
100022,2010,11/24/2010,Litchfield,8 INDIAN KNOLLS,360160,355000.0,1.014535211,Condo,Condo,0
100053,2010,11/22/2010,Berlin,0 BERLIN TPKE,185600,1028000.0,0.180544747,Nan,Nan,0
100026,2010,12/8/2010,New Fairfield,60 CANDLE HILL RD,227500,330000.0,0.689393939,Single Family,Single Family,0
10039,2010,3/14/2011,East Haddam,19 OLD KENTWOOD RD,218060,109500.0,1.991415525,Single Family,Single Family,1
100291,2010,3/28/2011,New Britain,27 WOODBINE ST,125790,196000.0,0.641785714,Single Family,Single Family,1
10163,2010,11/10/2010,Bridgeport,21-27 LENOX AVENUE,252550,153000.0,1.650653595,Four Family,Four Family,0
100526,2010,6/28/2011,Danbury,407 LARSON DR,241000,325000.0,0.741538462,Condo,Condo,1
10473,2010,6/20/2011,Milford,348 BRIDGEPORT AVENUE,219780,125000.0,1.75824,Nan,Nan,1
100070,2010,3/22/2011,Griswold,10 COLUMBUS AVE,162750,177900.0,0.914839798,Single Family,Single Family,1
100187,2010,7/29/2011,Bethel,5 MAPLE ROW,241720,335000.0,0.721552239,Single Family,Single Family,1
100034,2010,7/21/2011,Barkhamsted,62 LAVANDER RD,0,6000.0,0.0,Nan,Nan,1
100298,2010,8/10/2011,New Canaan,442 GREENLEY ROAD,2062480,2040000.0,1.011019608,Single Family,Single Family,1
100006,2010,10/19/2010,Westbrook,109 CAPTAINS DR,461580,520000.0,0.887653846,Single Family,Single Family,0
100093,2010,3/31/2011,Cromwell,10 GLENVIEW DRIVE,112880,70000.0,1.612571429,Single Family,Single Family,1
100264,2010,7/19/2011,Naugatuck,115 BEACON MANOR RD,137650,177500.0,0.775492958,Single Family,Single Family,1
100039,2010,6/28/2011,Marlborough,344 NO MAIN ST,502810,570000.0,0.882122807,Nan,Nan,1
100044,2010,5/16/2011,Goshen,67 SHELBOURNE DRIVE,339610,300000.0,1.132033333,Single Family,Single Family,1
100250,2010,6/30/2011,New Canaan,585 PONUS RIDGE,1680980,2400000.0,0.700408333,Single Family,Single Family,1
100048,2010,11/15/2010,Berlin,1123 HIGH RD,154800,199000.0,0.777889447,Single Family,Single Family,0
